Date,Name,Symbol,Type,Category,Quantity,Price,TotalValue,Note
2024/8,Ordiswap,ORDS,Assets,Cryptocurrency,"8,590.00",0,356,
2024/8,Stacks,STX,Assets,Cryptocurrency,284.53,59,"16,737",
2024/8,Mat1x,MAX,Assets,Cryptocurrency,110.00,11,"1,166",
2024/8,USDT,USDT,Assets,Cryptocurrency,0.00,33,0,Binance(earn)
2024/8,TWINBEANS stock,,Assets,Unlisted stock,"451,500.00",10,"4,515,000","12 NT/share: 500K(盈志)+850K(爸)+150K(廷)
20 NT/share: 780K(盈志)
Share(盈志)：41,667+39,000 = 80667
Share(爸)：70,833
Share(廷)：12,500"
2024/8,Atom stock,,Assets,Unlisted stock,"5,000.00",24,"120,000",
2024/8,Installment,TWD,Liabilities,Cash,1.00,"136,541","136,541",
2024/7,盈志 Bank,TWD,Assets,Cash,"46,862",1,"46,862",國泰世華
2024/7,郁雯 Bank,TWD,Assets,Cash,"799,977",1,"799,977",郵局
2024/7,Bitcoin,BTC,Assets,Cryptocurrency,0.0631,"1,903,560","120,070",
2024/7,Ethereum,ETH,Assets,Cryptocurrency,3.34,"82,670","276,118","Sushi(farm), Matamask, Binance(earn)"
2024/7,Solana,SOL,Assets,Cryptocurrency,11.53,"4,651","53,620",Binance(earn)
2024/7,Sui,SUI,Assets,Cryptocurrency,591.33,30,"17,885",Binance(earn)
2024/7,Polygon,POL,Assets,Cryptocurrency,"3,824.00",16,"59,694",Binance(earn)
2024/7,Arbitrum,ARB,Assets,Cryptocurrency,896.84,18,"16,129",Binance(earn)
2024/7,Optimism,OP,Assets,Cryptocurrency,7.00,43,299,Binance(earn)
2024/7,Chainlink,LINK,Assets,Cryptocurrency,99.00,327,"32,422",Binance(earn)
2024/7,The Graph,GRT,Assets,Cryptocurrency,"4,644.00",4,"20,779",MAX
2024/7,Pyth Network,PYTH,Assets,Cryptocurrency,"2,468.00",9,"22,875",Binance(earn)
2024/7,Truflation,TRUF,Assets,Cryptocurrency,"1,426.00",3,"4,540",Binance(earn)
2024/7,Filecoin,FIL,Assets,Cryptocurrency,126.49,114,"14,464",
2024/7,Arweave,AR,Assets,Cryptocurrency,41.52,655,"27,195",
2024/7,Immutable,IMX,Assets,Cryptocurrency,768.00,36,"27,724","Binance, OKX"
2024/7,GALA,GALA,Assets,Cryptocurrency,"1,193.00",1,613,
2024/7,Beam,BEAM,Assets,Cryptocurrency,"37,672.00",0,"15,805",
2024/7,Ronin,RON,Assets,Cryptocurrency,193.84,49,"9,456",
2024/7,Xai,XAI,Assets,Cryptocurrency,283.00,7,"1,924",
2024/7,Nakamoto Games,NAKA,Assets,Cryptocurrency,208.45,24,"5,044",
2024/7,Gaimin,GMRX,Assets,Cryptocurrency,"172,872.00",0,"7,140",
2024/7,Portal,PORTAL,Assets,Cryptocurrency,508.48,8,"4,154",
2024/7,Myria,MYRIA,Assets,Cryptocurrency,"82,339.00",0,"5,219",
2024/7,GamerCoin,GHX,Assets,Cryptocurrency,"1,632.00",2,"3,694",
2024/7,Ultiverse,ULTI,Assets,Cryptocurrency,"2,114.00",1,"1,238",
2024/7,SuperVerse,SUPER,Assets,Cryptocurrency,589.67,18,"10,720",
2024/7,Render,RENDER,Assets,Cryptocurrency,104.06,147,"15,326",
2024/7,Akash network,AKT,Assets,Cryptocurrency,239.30,84,"20,001",
2024/7,Nosana,NOS,Assets,Cryptocurrency,66.47,50,"3,307",
2024/7,Clore.ai,CLORE,Assets,Cryptocurrency,"1,727.90",2,"3,428",
2024/7,AIT Portocol,AIT,Assets,Cryptocurrency,600.00,3,"1,561",
2024/7,Artificial Superintelligence Alliance,FET,Assets,Cryptocurrency,401.60,27,"10,710",
2024/7,RSS3,RSS3,Assets,Cryptocurrency,"2,800.00",3,"9,106",
2024/7,AIOZ Network,AIOZ,Assets,Cryptocurrency,578.12,14,"7,878",
2024/7,PAAL AI,PAAL,Assets,Cryptocurrency,0.00,7,0,
2024/7,Cosmos Hub,ATOM,Assets,Cryptocurrency,55.63,163,"9,046",
2024/7,Injective,INJ,Assets,Cryptocurrency,30.24,575,"17,396",
2024/7,Evmos,EVMOS,Assets,Cryptocurrency,241.19,1,215,
2024/7,Celestia,TIA,Assets,Cryptocurrency,95.00,167,"15,911",
2024/7,Dymension,DYM,Assets,Cryptocurrency,13.98,41,573,
2024/7,Sei,SEI,Assets,Cryptocurrency,"1,196.50",9,"10,857",
2024/7,Osmosis,OSMO,Assets,Cryptocurrency,106.86,12,"1,321",
2024/7,JUNO,JUNO,Assets,Cryptocurrency,117.28,3,381,
2024/7,Scroll,SCR,Assets,Cryptocurrency,,0,0,
2024/7,ZKSync,ZK,Assets,Cryptocurrency,"6,529.00",4,"23,357",
2024/7,Pepe,PEPE,Assets,Cryptocurrency,0.00,0,0,
2024/7,Slerf,SLERF,Assets,Cryptocurrency,655.00,5,"3,153",
2024/7,Parcl,PRCL,Assets,Cryptocurrency,,0,0,
2024/7,Neon,NEON,Assets,Cryptocurrency,606.84,12,"7,174",
2024/7,Pendle,PENDLE,Assets,Cryptocurrency,309.49,81,"25,163",
